epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,4607.51,1.0562,1.05699,1.37992,0.82581,0.65036,0.71811,0.59248,0.87632,1.00976,1.31751,0.0006065,0.0006065,0.0006065
54,4695.8,1.07332,1.0785,1.38747,0.84561,0.66752,0.71325,0.57833,0.8994,0.9876,1.32305,0.000594125,0.000594125,0.000594125
55,4782.89,1.05139,1.04189,1.37089,0.83443,0.66368,0.71531,0.58298,0.87742,1.02955,1.30301,0.00058175,0.00058175,0.00058175
56,4868.82,1.04341,1.03557,1.37421,0.80914,0.68422,0.7132,0.58502,0.89325,0.99717,1.31823,0.000569375,0.000569375,0.000569375
57,4956.04,1.03565,1.0337,1.36154,0.80947,0.67968,0.7143,0.58181,0.897,0.98902,1.32531,0.000557,0.000557,0.000557
58,5041.03,1.03128,1.04479,1.35912,0.81527,0.66399,0.71392,0.58817,0.86438,0.98944,1.29803,0.000544625,0.000544625,0.000544625
59,5127,1.04122,1.02625,1.36275,0.79158,0.69479,0.72425,0.5949,0.86742,0.95409,1.31016,0.00053225,0.00053225,0.00053225
60,5213.93,1.01896,1.00573,1.35351,0.81816,0.66796,0.72382,0.59057,0.87604,0.96634,1.31214,0.000519875,0.000519875,0.000519875
61,5299.63,1.02489,1.01245,1.35958,0.8491,0.66887,0.73052,0.60449,0.86501,0.95797,1.29924,0.0005075,0.0005075,0.0005075
62,5387.91,1.01332,0.98802,1.34902,0.80633,0.68933,0.72254,0.59573,0.86777,0.95436,1.31027,0.000495125,0.000495125,0.000495125
63,5474.94,1.00451,0.9868,1.33938,0.83684,0.66137,0.72564,0.59756,0.86592,0.96977,1.28841,0.00048275,0.00048275,0.00048275
64,5561.6,1.00375,0.98686,1.3447,0.83375,0.67117,0.72262,0.58964,0.87872,0.97938,1.30449,0.000470375,0.000470375,0.000470375
65,5648.62,0.99215,0.95758,1.32883,0.83685,0.66924,0.72524,0.59398,0.87496,0.97932,1.31188,0.000458,0.000458,0.000458
66,5735.88,0.99128,0.95666,1.32954,0.82062,0.69685,0.72815,0.59812,0.87539,0.97634,1.32898,0.000445625,0.000445625,0.000445625
67,5821.83,0.98374,0.95264,1.31782,0.80546,0.68344,0.72171,0.5934,0.88344,0.98076,1.32437,0.00043325,0.00043325,0.00043325
68,5909.79,0.97367,0.93337,1.31994,0.80746,0.67592,0.71394,0.58934,0.87314,0.99146,1.31972,0.000420875,0.000420875,0.000420875
69,5995.29,0.98545,0.94144,1.32985,0.81591,0.68027,0.72238,0.59818,0.85662,0.97113,1.29405,0.0004085,0.0004085,0.0004085
70,6081.68,0.96532,0.92756,1.31398,0.84526,0.67268,0.72193,0.59555,0.87052,0.97608,1.29456,0.000396125,0.000396125,0.000396125
71,6166.87,0.9557,0.91796,1.30485,0.78478,0.70633,0.7266,0.59796,0.87549,0.99932,1.32151,0.00038375,0.00038375,0.00038375
72,6251.74,0.9507,0.90403,1.30442,0.86064,0.64491,0.72481,0.5976,0.85858,0.96236,1.29491,0.000371375,0.000371375,0.000371375
73,6337,0.9532,0.9005,1.3011,0.85699,0.64785,0.72078,0.59281,0.86194,0.97922,1.30276,0.000359,0.000359,0.000359
74,6421.41,0.94392,0.89313,1.30344,0.83536,0.66556,0.7199,0.59325,0.87149,0.98463,1.31124,0.000346625,0.000346625,0.000346625
75,6506.97,0.94599,0.88846,1.29896,0.82739,0.67612,0.72474,0.5981,0.85684,0.96,1.28923,0.00033425,0.00033425,0.00033425
76,6592.11,0.94415,0.88711,1.29878,0.84302,0.66049,0.72372,0.59874,0.86562,0.97013,1.29454,0.000321875,0.000321875,0.000321875
77,6678.5,0.93064,0.87944,1.28958,0.83858,0.67831,0.73335,0.60595,0.86811,0.9716,1.30646,0.0003095,0.0003095,0.0003095
78,6765.48,0.92268,0.86193,1.28788,0.84304,0.66927,0.72971,0.60161,0.86912,0.95863,1.30975,0.000297125,0.000297125,0.000297125
79,6851.55,0.91292,0.85082,1.27649,0.82973,0.67078,0.72322,0.59651,0.8681,0.96973,1.31026,0.00028475,0.00028475,0.00028475
80,6937.45,0.91436,0.84584,1.2673,0.83589,0.67515,0.7332,0.60667,0.85528,0.9482,1.30191,0.000272375,0.000272375,0.000272375
81,7022.57,0.90892,0.85363,1.26825,0.85002,0.64919,0.71641,0.5943,0.86738,0.97003,1.30952,0.00026,0.00026,0.00026
82,7109.4,0.90079,0.82584,1.26529,0.83702,0.6796,0.72497,0.59751,0.8752,0.93973,1.32055,0.000247625,0.000247625,0.000247625
83,7198.58,0.90807,0.83341,1.26662,0.83065,0.69197,0.73303,0.60753,0.8591,0.95333,1.30272,0.00023525,0.00023525,0.00023525
84,7285.42,0.89197,0.83081,1.26437,0.84489,0.69248,0.7302,0.60301,0.87235,0.95793,1.30292,0.000222875,0.000222875,0.000222875
85,7372.32,0.8894,0.81616,1.25777,0.853,0.66758,0.72824,0.60152,0.86302,0.95874,1.30903,0.0002105,0.0002105,0.0002105
86,7458.67,0.87254,0.79129,1.24552,0.81974,0.69391,0.72911,0.6013,0.86798,0.94754,1.30771,0.000198125,0.000198125,0.000198125
87,7543.74,0.87416,0.79321,1.24913,0.83804,0.66856,0.73129,0.60037,0.86928,0.97235,1.30126,0.00018575,0.00018575,0.00018575
88,7629.2,0.86905,0.80055,1.24194,0.85071,0.67855,0.73087,0.60522,0.86333,0.94333,1.30798,0.000173375,0.000173375,0.000173375
89,7714.46,0.87814,0.79625,1.2521,0.85267,0.67051,0.73076,0.6071,0.86021,0.97478,1.30211,0.000161,0.000161,0.000161
90,7800.02,0.86767,0.77651,1.23778,0.85937,0.66181,0.73178,0.60754,0.86535,0.96166,1.30998,0.000148625,0.000148625,0.000148625
91,7885.04,0.82979,0.68262,1.25004,0.82813,0.67561,0.72708,0.60357,0.87373,0.97218,1.31874,0.00013625,0.00013625,0.00013625
92,7968.56,0.80331,0.65211,1.2349,0.83496,0.6672,0.72376,0.60086,0.8599,0.96595,1.3149,0.000123875,0.000123875,0.000123875
93,8051.63,0.79751,0.64523,1.23502,0.83508,0.67913,0.72777,0.60268,0.8567,0.96479,1.31058,0.0001115,0.0001115,0.0001115
94,8136.01,0.78768,0.64156,1.22168,0.83346,0.67708,0.72236,0.59786,0.86548,0.99462,1.32161,9.9125e-05,9.9125e-05,9.9125e-05
95,8218.84,0.77559,0.62496,1.21129,0.8309,0.68206,0.72722,0.60389,0.86348,0.98099,1.32069,8.675e-05,8.675e-05,8.675e-05
96,8303.38,0.76733,0.61778,1.20862,0.86776,0.65297,0.72096,0.59857,0.86577,0.98698,1.31833,7.4375e-05,7.4375e-05,7.4375e-05
97,8387.14,0.76281,0.60753,1.20987,0.86566,0.65697,0.72068,0.60179,0.85871,0.97892,1.32254,6.2e-05,6.2e-05,6.2e-05
98,8473.42,0.75549,0.60023,1.20188,0.85742,0.65992,0.71888,0.59979,0.85853,0.99793,1.32293,4.9625e-05,4.9625e-05,4.9625e-05
99,8557.58,0.75465,0.59781,1.20168,0.84595,0.67027,0.72037,0.59947,0.86287,1.00208,1.32784,3.725e-05,3.725e-05,3.725e-05
100,8641.04,0.74848,0.58768,1.19346,0.8431,0.66971,0.71552,0.59727,0.86409,0.99224,1.32627,2.4875e-05,2.4875e-05,2.4875e-05
